Group,N,Explore_variable,minimum,q1,median,mean,q3,maximum,SD,SEM
young female,26,Distance,202.875,220.125,246.625,244.30769230769232,270.125,282.75,27.054002263279614,5.305726363894082
young male,24,Distance,183.625,214.21875,256.4375,248.36458333333334,277.90625,297.25,35.73505914354632,7.294388402488912
midlife male,23,Distance,132.5,206.25,247.375,233.97282608695653,262.5,296.125,40.36926423727944,8.417573478351546
midlife female,64,Distance,147.625,196.625,221.4375,217.62890625,244.625,276.5,32.8040944921726,4.100511811521575
young male,24,Speed,0.38255208333333335,0.4462890625,0.5342447916666666,0.5174262152777778,0.5789713541666667,0.6192708333333333,0.07444803988238816,0.01519664250518523
young female,26,Speed,0.42265625,0.45859375,0.5138020833333333,0.5089743589743589,0.5627604166666667,0.5890625,0.05636250471516587,0.011053596591446006
midlife male,23,Speed,0.2760416666666667,0.4296875,0.5153645833333333,0.4874433876811594,0.546875,0.6169270833333333,0.0841026338276655,0.01753661141323239
midlife female,64,Speed,0.30755208333333334,0.40963541666666664,0.461328125,0.4533935546875,0.5096354166666667,0.5760416666666667,0.06834186352535958,0.008542732940669947
young male,24,TotalObjVisits,7,9,10,9.645833333333334,10.5,11.5,1.0578810513666361,0.21593906536727164
young female,26,TotalObjVisits,7.5,8.5,9,9.115384615384615,9.875,11.5,0.9727043981363743,0.19076302719441918
midlife male,23,TotalObjVisits,7.5,12,13.5,13.434782608695652,15,18,2.59940704701042,0.5420138373032087
midlife female,64,TotalObjVisits,7.5,10.5,12.5,12.453125,14.125,17.5,2.157892030633835,0.26973650382922937
young male,24,TotalHallwayVisits,36.5,42.375,43.75,44.020833333333336,45.5,50.5,3.2150433314635753,0.6562679719186238
young female,26,TotalHallwayVisits,39,42.625,44.25,44.03846153846154,45.875,49,2.607385958860241,0.5113504570652386
midlife male,23,TotalHallwayVisits,36,56.75,65.5,62.26086956521739,69.75,80,10.558139433650005,2.2015242575404264
midlife female,64,TotalHallwayVisits,39.5,52.125,59.5,58.3046875,65.125,74.5,8.433971925520988,1.0542464906901234
young male,24,pauses,314.98578111328,519.6067378645092,754.0014389303545,825.9829987302379,1018.8645578183678,1716.24036594474,402.919361868607,82.2455703388247
young female,26,pauses,539.137175324676,640.765865832879,712.6119221804955,728.8664202091277,809.3570024583047,1034.60129499561,124.3418838934845,24.385449704990997
midlife male,23,pauses,397.608937833297,694.9445775320776,924.767797552836,975.0436029985206,1210.6545872852748,1980.1232257326,413.14677827206117,86.14705839096703
midlife female,64,pauses,580.602688172043,857.075075184403,1038.31779450977,1119.3921490775467,1296.8744834172726,2149.27400308839,344.58601141687757,43.073251427109696
young male,24,obj_evenness,0.3333333333333333,0.7264831572567789,0.985912657903775,0.9701086803398526,1.2018504251546631,1.5,0.29870943048470017,0.06097380717040649
young female,26,obj_evenness,0.6009252125773316,0.8815092346229132,1.07349948705323,1.0993086905207534,1.2936050888993278,1.6583123951777,0.2825736819486824,0.055417258395542034
midlife male,23,obj_evenness,0.7071067811865476,1.118033988749895,1.224744871391589,1.317730394117365,1.5723053750126665,2.088327347690278,0.3645422475051834,0.07601231313759245
midlife female,64,obj_evenness,0.3333333333333333,1.118033988749895,1.4142135623730951,1.464764900185374,1.7016241475287468,2.8625940062196116,0.491858121487158,0.06148226518589475
young male,24,HallEvenness,1.0540925533894598,1.4670244582193457,1.954310826020183,1.9400755146835909,2.34947894041409,2.958039891549808,0.5361299477555806,0.109437067318848
young female,26,HallEvenness,1.224744871391589,1.6264980631485073,1.9820395916015574,2.0814175343073305,2.4506254994104304,3.278719262151,0.5934533406855931,0.11638577556010254
midlife male,23,HallEvenness,1.509230856356236,1.922093765778466,2.5055493963954847,2.5381516417233625,2.833295167993569,5.214829282387338,0.8317006807543609,0.17342158011836578
midlife female,64,HallEvenness,0.8660254037844386,1.986062547968831,2.4462824687436697,2.590798150827572,2.9477448432114106,6.2048368229954285,0.9128734469577504,0.1141091808697188
young male,24,ButtonPress,113,127.25,150.5,145,157.625,173.5,17.862396742635195,3.646146466884047
young female,26,ButtonPress,116,131.125,147.5,143.21153846153845,153.875,163.5,14.274573952957809,2.7994742743982757
midlife male,23,ButtonPress,93.5,128,138.5,138.19565217391303,151.5,173.5,21.025276525278493,4.384073215056414
midlife female,64,ButtonPress,94,123,135,131.6875,145,157,16.659879570440697,2.082484946305087
young male,24,entropy,2.5993524430951567,2.6698950209085432,2.713943727126206,2.766300964097066,2.8525714269440585,3.067691262935744,0.1291444166008963,0.02636149365013442
young female,26,entropy,2.5989056608591636,2.6677498574536482,2.7212338173176587,2.748661742248907,2.789184170817709,3.0104350027640825,0.11299085692278575,0.022159330165648267
midlife male,23,entropy,2.907039783234278,3.067116572752395,3.1060233040057645,3.087144617826557,3.1219899267504028,3.156948323028331,0.05850138659591867,0.01219838234757439
midlife female,64,entropy,2.822495514142963,3.0357856999006434,3.096242552391236,3.0770207132575265,3.127666804359316,3.146257228787591,0.0616676232825553,0.007708452910319413
young male,24,hallwayseq,23,26.5,30,31.958333333333332,35,64,8.720187306856813,1.780000780274486
young female,26,hallwayseq,21,29,35,35.96153846153846,40.75,62,10.065707205083084,1.974047594493467
midlife male,23,hallwayseq,7,9.5,10,10.608695652173912,11.5,17,2.3882121581327245,0.49797665879702707
midlife female,64,hallwayseq,7,10,11,11.234375,12,21,2.617051457907034,0.32713143223837926
